ランキング,更新回数,最大獲得金額,最小獲得金額,Bet未満件数,平均獲得金額,獲得金額中央値
1,4,6538.85,0.41,1,2283.0975,1296.565
2,10,1522.04,0.3,6,217.07200000000003,4.154999999999999
3,13,1590.83,0.5,2,398.7923076923077,65.85
4,12,757.84,0.15,5,96.09833333333334,17.125
5,7,85.09,0.18,4,18.055714285714284,4.65
6,4,285.07,0.15,3,71.705,0.8

1,10,1718.77,0.41,4,451.28099999999995,29.81
2,16,620.13,0.35,6,96.9325,13.129999999999999
3,7,815.3,1.98,3,177.07571428571427,12.11
4,4,85.87,0.53,2,26.192500000000003,9.185
5,12,275.03,0.05,6,40.375,18.25
6,14,50.89,0.08,10,10.557857142857143,2.1799999999999997

1,10,193.24,0.41,5,72.84,42.855000000000004
2,5,3703.2,2.91,1,764.678,46.87
3,10,1357.53,0.17,3,274.73199999999997,21.715
4,8,854.27,0.24,4,177.7475,68.595
5,12,357.4,0.08,8,57.51499999999999,4.285
6,14,64.75,0.08,11,11.090714285714286,6.26


